क्र ,पुस्तकाचे नाव ,लेखक ,किंमत ,सवलतीत 
122,अचूक इंग्रजी कसे बोलावे आणि लिहावे,आय.पी.अत्तरदे,120,90
123,चांदणी खाली पडली,आरती देशपांडे-भाटे,१५०,९८
124,चिंगी आणि मिंगी,आरती देशपांडे-भाटे,१००,६५
125,टोपीची गोष्ट,आरती देशपांडे-भाटे,१५०,९८
126,प्राण्यांची सहल,आरती देशपांडे-भाटे,१५०,९८
127,सुरवंट,आरती देशपांडे-भाटे,१५०,९८
128,नवा परीघ,आश्लेषा महाजन,२८०,१८२
129,गांधी जगलेली मानसं,इंदुमती जोंधळे,280,210
130,बिनपटाची चौकट,इंदुमती जोंधळे,380,285
131,छत्रपती शाहूमहाराज : सातारा,इस्माईल पठाण,499,374
132,छत्रपती शिवाजी महाराज,इस्माईल पठाण,800,600
133,छत्रपती संभाजी महाराज,इस्माईल पठाण,399,299
134,"Kusumagraj, Surve aani Bagool ()",उत्तम कांबळे,150,113
135,अस्वस्थ नायक,उत्तम कांबळे,250,188
136,कथा माणसांच्या,उत्तम कांबळे,320,240
137,कावळे आणि माणसं,उत्तम कांबळे,180,135
138,कुंभमेळ्यात भैरू,उत्तम कांबळे,130,98
139,जगण्याच्या जळत्या वाटा,उत्तम कांबळे,275,206
140,डोंगरासाठी काही फुले,उत्तम कांबळे,180,135
141,तिरंग्यातून गेला बाप,उत्तम कांबळे,150,113
142,पारध्याची गाय,उत्तम कांबळे,150,113
143,फिरस्ती,उत्तम कांबळे,230,173
144,रंग माणसांचे,उत्तम कांबळे,250,188
145,लढणार्यांच्या मुलाखती,उत्तम कांबळे,220,165
146,वाट तुडवताना,उत्तम कांबळे,290,218
147,टचिंग द व्हाइड,उषा:प्रभा पागे,160,120
148,निरामशाबेली डायान फॉसी,ऋता रानडे,350,263
149,अंधारवारी,ऋषिकेश गुप्ते,220,165
150,दैत्यालय,ऋषिकेश गुप्ते,220,165
151,आनंदाची बाग,एकनाथ आव्हाड,१२०,७८
152,छंद देई आनंद (द्वितीय आवृत्ती) ,एकनाथ आव्हाड,२००,१३०
153,एका समृद्ध शाळेचा प्रवास,कबीर वाजपेयी,450,338
154,गोष्टी गणिताच्या,किरण बर्वे,150,113
155,अंतरंग,कुमार केतकर,299,224
156,भारतीय भाषेतील धम्माल गोष्टी,कृपा कुलकर्णी,199,149
157,द इंडियन्स,गणेश देवी,899,674
158,बुद्धा अॅट वर्क्स,गीतांजली पंडीत,320,240
159,अनर्थशास्त्र,गुरुदास नूलकर,199,149
160,द सिक्रेट विस्डम ऑफ नेचर,गुरुदास नूलकर,300,225
161,द हिडन लाईफ ऑफ ट्रीज,गुरुदास नूलकर,320,240
162,आपुला चि वाद आपणांसी,चंद्रकांत वानखेडे,200,150
163,गांधी का मरत नाही,चंद्रकांत वानखेडे,200,150
164,मनोवृत्ती / एकाग्रता,चिन्मय केणी/प्रसाद ,१५०,९८
165,गणितातील गमती-जमती,जयंत नारळीकर,99,74
166,"माती, पंख आणि आकाश",ज्ञानेश्वर मुळे,250,213
167,नोबेल साहित्य दर्शन (१९९३ ते २०२२) भाग १,डॉ अश्विनी धोंगडे,४००,२६०
168,आपले डिजिटल जीवन,डॉ दीपक शिकारपूर,२२०,१४३
169,आर्टिफिशियल इंटेलिजन्स,डॉ दीपक शिकारपूर,२००,१३०
170,डिजिटल भारत,डॉ दीपक शिकारपूर,२००,१३०
171,आदिकाल : एक इतिहस (उत्तरार्ध),डॉ. अनिरुद्ध वझलवार,४००,२६०
172,आदिकाल : एक इतिहस (पूर्वार्ध),डॉ. अनिरुद्ध वझलवार,४००,२६०
173,एकदा काय झालं (५ पुस्तकांचा संच),डॉ. अमृता बेडेकर,४००,२६०
174,द फेट ऑफ द बटरफäलाईज,डॉ. अश्विनी धोंगडे,१४०,९१
175,आर्टिफिशियल इंटेलिजन्स २०२६±±,डॉ. दीपक शिकारपूर,३२०,२०८
176,पर्यावरण संरक्षणासाठी आधुनिक स्मार्ट तंत्रज्ञान,डॉ. दीपक शिकारपूर,२००,१३०
177,खगोलशास्त्रातील नोबेल पारितोषिके,डॉ. पुष्पा खरे,३००,१९५
178,तदभव,डॉ. रवींद्र शोभणे,२८०,१८२
179,प्रवाह,डॉ. रवींद्र शोभणे,२९०,१८९
180,वर्तमान,डॉ. रवींद्र शोभणे,२९०,१८९
181,चरित्रमाला (थोर समाजसुधारकांच्या १० पुस्तकांची),डॉ. लीला दीक्षित,७५०,४८८
182,अक्करमाशी,डॉ. शरणकुमार लिंबाळे,१८०,११७
183,गावकुसाबाहेरील कथा ,डॉ. शरणकुमार लिंबाळे,२२०,१४३
184,दलित पँथर (नवीन सुधारित आवृत्ती),डॉ. शरणकुमार लिंबाळे,५५०,३५८
185,पुन्हा अक्करमाशी (सहावी आवृत्ती),डॉ. शरणकुमार लिंबाळे,२००,१३०
186,राणीमाशी,डॉ. शरणकुमार लिंबाळे,१५०,९८
187,रामराज्य,डॉ. शरणकुमार लिंबाळे,४३०,२८०
188,वंदे मातरम् ,डॉ. शरणकुमार लिंबाळे,३००,१९५
189,सनातन,डॉ. शरणकुमार लिंबाळे,३००,१९५
190,अनुभवाचे बोल,डॉ. सुरेश सावंत,१८०,११७
191,अवखळ अप्पू,डॉ. सुरेश सावंत,२३०,१५०
192,बाळाची काळजी कशी घ्याल,डॉ.अनंत  फडके,180,135
193,गुड न्यूज आहे!,डॉ.अरुण गद्रे,350,263
194,बुद्धांसोबत क्षणोक्षणी,डॉ.आनंद नाडकर्णी,299,224
195,हेही दिवस जातील,डॉ.आनंद नाडकर्णी,150,113
196,इंडियाज मोस्ट फिअरलेस - 3,डॉ.आशा भागवत,420,315
197,एफर्टलेस वेट लॉस,डॉ.जगन्नाथ दीक्षित,250,188
198,मुलांसाठी मेडीकल जनरल नॉलेज भाग १,डॉ.जगन्नाथ दीक्षित,130,98
199,मुलांसाठी मेडीकल जनरल नॉलेज भाग ४,डॉ.जगन्नाथ दीक्षित,130,98
200,मुलांसाठी मेडीकल जनरल नॉलेज भाग ५,डॉ.जगन्नाथ दीक्षित,130,98
201,मुलांसाठी मेडीकल जनरल नॉलेज भाग-2,डॉ.जगन्नाथ दीक्षित,130,98
202,मुलांसाठी मेडीकल जनरल नॉलेज भाग-३,डॉ.जगन्नाथ दीक्षित,130,98
203,लर्न टू अर्न,डॉ.नितीन हांडे,370,278
204,आळशी माणसाचा विषय गणित,डॉ.प्रकाश जोशी,160,120
205,प्रजनन,डॉ.प्रकाश जोशी,380,285
206,कॉर्पोरेट चाणक्य,डॉ.प्रज्ञा कुलकर्णी,140,105
207,प्रश्न तुमचे उत्तर बिरबलाचे,डॉ.प्रज्ञा कुलकर्णी,170,128
208,चिंता,डॉ.प्रदीप पाटकर,180,135
209,अंगदेशाचा राजा-मेंदू,डॉ.बाळ फोंडके,90,68
210,अंगदेशाचा लढाया-रोगप्रतिकारशक्ती,डॉ.बाळ फोंडके,90,68
211,कसं,डॉ.बाळ फोंडके,120,90
212,का,डॉ.बाळ फोंडके,120,90
213,काय,डॉ.बाळ फोंडके,120,90
214,किती,डॉ.बाळ फोंडके,140,105
215,कुठं,डॉ.बाळ फोंडके,120,90
216,केव्हा,डॉ.बाळ फोंडके,120,90
217,कोण,डॉ.बाळ फोंडके,140,105
218,"बिरबलाचं \""विज्ञान\"" - भाग १",डॉ.बाळ फोंडके,110,83
219,"बिरबलाचं \""विज्ञान\"" - भाग २",डॉ.बाळ फोंडके,110,83
220,मनाच्या अंतरंगात्,डॉ.मिलिंद पोतदार,299,224
221,ध्यान- विज्ञान,डॉ.यश वेलणकर,250,188
222,कथा पालकांच्या व्यथा मुलांच्या,डॉ.राजेंद्र बर्वे,180,135
223,डिसिजन्स,डॉ.राजेंद्र बर्वे,280,210
224,विसंवादातून  सुसंवादाकडे,डॉ.राजेंद्र बर्वे,170,128
225,मी देशाला काय देऊ शकतो,डॉ.वृंदा चापेकर,250,188
226,बांधावरची झाडे,डॉ.व्ही.एन.शिंदे,260,195
227,भारतातील प्रमुख धर्म,डॉ.शरद अभ्यंकर,270,203
228,करिअरचा 'बी' प्लान,डॉ.श्रीराम गीत,199,149
229,पालकशाळा,डॉ.श्रीराम गीत,225,169
230,पौष्टिक आरोग्य,डॉ.संजीवनी राजवाडे,299,224
231,लज्जतदार आरोग्य,डॉ.संजीवनी राजवाडे,190,143
232,स्वादिष्ट आरोग्य,डॉ.संजीवनी राजवाडे,280,210
233,आत्महत्या हे उत्तर नाही,डॉ.संज्योत देशपांडे,400,300
234,माझा देश माझी माणसं,डॉ.सुरुची पांडे,280,210
235,सीतायन,तारा भवाळकर,250,188
236,"द लॉस्ट डायरी ऑफ कस्तुर, माय बा ",तुषार गांधी,399,299
237,शोध स्वामी विवेकानंदांचा,दत्तप्रसाद दाभोळकर,299,224
238,संघ समजून घेताना,दत्तप्रसाद दाभोळकर,280,210
239,अत्यंत प्रतिभावान मुलांची 7 वैशिष्ट्य,दिनेश व्होरा,170,128
240,आपली ग्रहमाला संच (भाग १ ते ६),दिलीप बर्वे,९००,५८५
241,कथा उद्योजकांच्या (१० पुस्तकांचा संच),दिलीप बर्वे,७००,४५५
242,"चंद्र, चंद्र आणि चंद्रच",दिलीप बर्वे,२४०,१५६
243,छोट्या अणूची मोठी गोष्ट,दिलीप बर्वे,१७०,१११
